flight_i,flight_j,gap_slots,slack_available,buffer_i_no_conn,buffer_j_no_conn,buffer_i_conn,buffer_j_conn,constraint_rhs,constraint_lhs,binding,dep_airport_j,airline_j,buf_j_change
9572,9584,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,DTW,Delta Air Lines Inc,-15.0
9575,10764,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,United Air Lines Inc.,-15.0
9576,9329,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,JetBlue Airways,-15.0
9577,9464,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9578,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9579,9584,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,DTW,Delta Air Lines Inc,-15.0
9580,9328,2,330,30.0,30.0,30.0,15.0,330,-15.0,False,RSW,JetBlue Airways,-15.0
9583,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9588,10764,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,United Air Lines Inc.,-15.0
9594,9328,2,330,30.0,30.0,30.0,15.0,330,-15.0,False,RSW,JetBlue Airways,-15.0
9595,8963,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,PBI,American Airlines Inc.,-15.0
9596,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9598,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9603,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9611,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9613,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9617,9678,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9618,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9623,10690,1,150,30.0,26.63,30.0,15.0,150,-15.0,False,SAN,United Air Lines Inc.,-11.629999999999999
9628,9622,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9638,9329,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,JetBlue Airways,-15.0
9644,10101,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,IAH,Southwest Airlines Co.,-15.0
9646,9186,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,BOS,JetBlue Airways,-15.0
9648,9573,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9649,10695,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,United Air Lines Inc.,-15.0
9652,9125,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,FLL,Alaska Airlines Inc.,-15.0
9655,9622,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9661,10324,1,150,30.0,28.42,30.0,15.0,150,-15.0,False,LGA,Republic Airways,-13.420000000000002
9662,10335,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,LGA,Republic Airways,-15.0
9663,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9664,9622,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9667,9584,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,DTW,Delta Air Lines Inc,-15.0
9669,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9670,10685,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ORD,United Air Lines Inc.,-15.0
9674,10705,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,CLT,United Air Lines Inc.,-15.0
9676,10485,1,150,30.0,30.0,15.0,30.0,150,15.0,False,JAX,PSA Airlines,0.0
9680,9497,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,LGA,Delta Air Lines Inc,-15.0
9681,9511,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,LGA,Delta Air Lines Inc,-15.0
9682,10206,1,150,30.0,30.0,15.0,30.0,150,15.0,False,BWI,Southwest Airlines Co.,0.0
9685,9198,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,JAX,JetBlue Airways,-15.0
9688,9886,2,330,30.0,30.0,30.0,15.0,330,-15.0,False,MDW,Southwest Airlines Co.,-15.0
9700,9129,1,150,30.0,29.92,15.08,29.92,150,14.84,False,SFO,Alaska Airlines Inc.,0.0
9703,10764,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,United Air Lines Inc.,-15.0
9704,10764,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,United Air Lines Inc.,-15.0
9705,9795,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MIA,American Eagle Airlines Inc.,-15.0
9706,10764,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,United Air Lines Inc.,-15.0
9708,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9709,9660,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
9712,9963,1,150,30.0,30.0,15.0,30.0,150,15.0,False,TPA,Southwest Airlines Co.,0.0
9717,10620,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MSP,Skywest Airlines Inc.,-15.0
9718,10580,2,330,30.0,24.12,30.0,15.0,330,-15.0,False,PHX,Skywest Airlines Inc.,-9.120000000000001
9722,9990,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,Southwest Airlines Co.,-15.0
9729,10111,1,150,24.62,27.56,19.52,25.48,150,5.97,False,LAS,Southwest Airlines Co.,-2.0799999999999983
9735,8963,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,PBI,American Airlines Inc.,-15.0
9739,9331,1,150,29.85,30.0,15.0,30.0,150,15.0,False,FLL,JetBlue Airways,0.0
9757,9125,1,150,28.7,30.0,28.7,15.0,150,-13.7,False,FLL,Alaska Airlines Inc.,-15.0
9770,9886,3,510,21.0,30.0,21.0,15.0,510,-6.0,False,MDW,Southwest Airlines Co.,-15.0
9776,9197,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,JFK,JetBlue Airways,-15.0
9784,10502,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ORD,Skywest Airlines Inc.,-15.0
9797,9080,1,150,24.41,30.0,24.41,15.0,150,-9.41,False,MIA,American Airlines Inc.,-15.0
9801,10065,1,150,22.29,30.0,22.29,15.0,150,-7.29,False,ORD,Southwest Airlines Co.,-15.0
9814,9810,1,150,16.65,30.0,16.65,25.72,150,9.07,False,ORD,American Eagle Airlines Inc.,-4.280000000000001
9827,10643,1,150,17.5,30.0,17.5,27.5,150,10.01,False,CLT,Skywest Airlines Inc.,-2.5
9828,10449,1,150,28.89,24.08,28.89,16.11,150,-12.79,False,DFW,PSA Airlines,-7.969999999999999
9830,9660,1,150,23.96,30.0,23.96,15.0,150,-8.96,False,ATL,Delta Air Lines Inc,-15.0
9832,9584,1,150,29.11,30.0,29.11,15.0,150,-14.11,False,DTW,Delta Air Lines Inc,-15.0
9833,10921,1,150,23.74,28.26,16.74,28.26,150,11.52,False,IAH,United Air Lines Inc.,0.0
9839,10764,1,150,18.96,30.0,18.96,15.0,150,-3.96,False,MCO,United Air Lines Inc.,-15.0
9842,10685,1,150,26.53,30.0,26.53,15.0,150,-11.53,False,ORD,United Air Lines Inc.,-15.0
9843,10249,1,150,19.33,23.57,19.33,23.57,150,4.24,False,LAS,Southwest Airlines Co.,0.0
9848,9329,2,330,18.11,30.0,18.11,15.0,330,-3.11,False,MCO,JetBlue Airways,-15.0
9849,10764,1,150,19.48,30.0,19.48,15.0,150,-4.48,False,MCO,United Air Lines Inc.,-15.0
9850,9125,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,FLL,Alaska Airlines Inc.,-15.0
9853,10629,2,330,24.54,20.74,24.54,20.46,330,-4.08,False,DEN,Skywest Airlines Inc.,-0.2799999999999976
9854,9615,1,150,17.12,30.0,15.0,30.0,150,15.0,False,BWI,Delta Air Lines Inc,0.0
9862,9886,3,510,21.14,30.0,21.14,15.0,510,-6.14,False,MDW,Southwest Airlines Co.,-15.0
9863,9886,3,510,16.74,30.0,16.74,15.0,510,-1.74,False,MDW,Southwest Airlines Co.,-15.0
9865,9886,3,510,30.0,30.0,30.0,15.0,510,-15.0,False,MDW,Southwest Airlines Co.,-15.0
9867,9886,3,510,16.95,30.0,16.95,15.0,510,-1.95,False,MDW,Southwest Airlines Co.,-15.0
9868,9886,2,330,30.0,30.0,30.0,15.0,330,-15.0,False,MDW,Southwest Airlines Co.,-15.0
9869,9886,3,510,18.59,30.0,18.59,15.0,510,-3.59,False,MDW,Southwest Airlines Co.,-15.0
9871,9886,3,510,16.66,30.0,16.66,15.0,510,-1.66,False,MDW,Southwest Airlines Co.,-15.0
9872,9886,3,510,17.29,30.0,17.29,15.0,510,-2.29,False,MDW,Southwest Airlines Co.,-15.0
9873,9886,3,510,17.28,30.0,17.28,15.0,510,-2.28,False,MDW,Southwest Airlines Co.,-15.0
9874,9886,2,330,22.65,30.0,22.65,15.0,330,-7.65,False,MDW,Southwest Airlines Co.,-15.0
9876,9886,3,510,18.05,30.0,18.05,15.0,510,-3.05,False,MDW,Southwest Airlines Co.,-15.0
9877,9886,2,330,23.38,30.0,23.38,15.0,330,-8.38,False,MDW,Southwest Airlines Co.,-15.0
9878,9800,1,150,18.05,30.0,18.05,24.24,150,6.19,False,MIA,American Eagle Airlines Inc.,-5.760000000000002
9879,9886,3,510,16.89,30.0,16.89,15.0,510,-1.89,False,MDW,Southwest Airlines Co.,-15.0
9882,9886,3,510,16.46,30.0,16.46,15.0,510,-1.46,False,MDW,Southwest Airlines Co.,-15.0
9883,9886,3,510,16.46,30.0,16.46,15.0,510,-1.46,False,MDW,Southwest Airlines Co.,-15.0
9885,9886,3,510,15.7,30.0,15.7,15.0,510,-0.7,False,MDW,Southwest Airlines Co.,-15.0
9887,9886,2,330,23.07,30.0,23.07,15.0,330,-8.07,False,MDW,Southwest Airlines Co.,-15.0
9888,9886,3,510,11.69,30.0,11.69,15.0,510,3.31,False,MDW,Southwest Airlines Co.,-15.0
9890,9886,2,330,23.94,30.0,23.94,15.0,330,-8.94,False,MDW,Southwest Airlines Co.,-15.0
9892,9886,2,330,22.91,30.0,22.91,15.0,330,-7.91,False,MDW,Southwest Airlines Co.,-15.0
9893,9886,3,510,11.68,30.0,11.68,15.0,510,3.32,False,MDW,Southwest Airlines Co.,-15.0
9895,9886,3,510,17.12,30.0,17.12,15.0,510,-2.12,False,MDW,Southwest Airlines Co.,-15.0
9901,9903,1,150,18.1,30.0,18.1,25.91,150,7.81,False,BWI,Southwest Airlines Co.,-4.09
9906,9911,1,150,17.49,26.57,17.49,15.0,150,-2.49,False,LAS,Southwest Airlines Co.,-11.57
9908,9903,1,150,17.56,30.0,17.56,25.91,150,8.35,False,BWI,Southwest Airlines Co.,-4.09
9912,9903,1,150,16.48,30.0,16.48,25.91,150,9.43,False,BWI,Southwest Airlines Co.,-4.09
9915,9903,1,150,16.22,30.0,16.22,25.91,150,9.69,False,BWI,Southwest Airlines Co.,-4.09
9917,9903,1,150,16.74,30.0,16.74,25.91,150,9.17,False,BWI,Southwest Airlines Co.,-4.09
9923,9903,1,150,18.49,30.0,18.49,25.91,150,7.42,False,BWI,Southwest Airlines Co.,-4.09
9925,9903,1,150,19.09,30.0,19.09,25.91,150,6.82,False,BWI,Southwest Airlines Co.,-4.09
